$Saimiri	x21	x3	x47	x48	x58
Quararibea.asterolepis	0	1	0	0	1
Randia.armata	0	0	0	1	0
Randia.grandifolia	0	0	0	1	0
Sabicea.villosa	0	1	0	0	0
Sarcopera.sessiliflora	0	0	0	1	0
Senna.sp	0	0	0	1	0
Spondias.mombin	0	1	0	0	1
Stigmaphyllon.sp	0	1	0	0	0
Strychnos.sp	0	0	0	1	0
Swartzia.simplex	0	0	0	0	1
Symphonia.globulifera	0	1	0	1	1
Syngonium.podophyllum	0	0	0	1	0
Syngonium.sp1	0	0	1	0	0
Syngonium.sp2	0	1	0	0	0
Syzygium.jambos	0	0	0	0	1
Syzygium.malaccense	0	0	0	1	0
Tabebuia.rosea	0	0	0	0	1
Tabebuia.sp1	0	1	0	0	0
Tabebuia.sp2	0	1	0	0	0
Talisia.nervosa	0	0	0	0	1
Tapirira.lepidota	0	0	0	1	0
Terminalia.catappa	0	1	0	0	0
Theobroma.cacao	0	1	0	0	0
Topobea.maurofernandeziana	0	0	0	1	0
Trichilia.quadrijuga	0	0	0	0	1
Trichilia.tuberculata	0	0	0	1	0
Virola.guatemalensis	0	0	0	1	0
Vismia.baccifera	0	0	0	1	0
Vitex.cooperi	0	1	1	1	0
Xylopia.sericophylla	0	0	0	0	1
