$Ateles	x10	x22	x36	x42	x43	x44	x54	x57
Ficus.sp3.OBS	0	0	0	0	0	0	0	1
Ficus.sp3.RC2	0	0	0	1	0	0	0	0
Ficus.sp4.MU2	0	0	0	0	1	0	0	0
Ficus.sp9	0	0	0	1	0	0	0	0
Ficus.tonduzii	0	0	0	1	0	0	0	0
Forsteronia.spicata	0	0	1	0	0	0	0	0
Fridericia.schumanniana	0	0	0	0	0	0	1	0
Garcinia.intermedia	0	1	1	0	0	0	0	0
Garcinia.madruno	0	0	0	1	0	1	1	1
Genipa.americana	0	1	1	0	0	0	0	1
Guarea.chiricana	0	0	0	0	0	0	0	1
Guarea.guidonia	0	0	0	1	0	0	0	0
Guarea.kunthiana	0	0	0	0	0	0	1	0
Guarea.pterorhachis	0	0	0	0	0	0	0	1
Guarea.sp1	0	0	0	0	0	0	0	1
Guatteria.alta	0	0	0	0	0	0	1	0
Guatteria.amplifolia	0	0	0	1	0	0	0	1
Guatteria.pudica	0	0	0	0	0	0	0	1
Guazuma.ulmifolia	0	0	1	0	1	0	0	0
Guettarda.macrosperma	0	1	1	0	0	0	0	0
Handroanthus.ochraceus	0	0	1	0	0	0	0	0
Heisteria.acuminata	0	0	0	0	0	0	0	1
Heisteria.concinna	0	0	0	0	0	0	0	1
Hernandia.sp	0	0	0	0	0	0	1	0
Hieronyma.alchorneoides	0	0	0	1	0	0	1	1
Hippocratea.volubilis	0	0	0	0	0	0	1	0
Humiriastrum.diguense	0	0	0	0	0	1	0	0
Hymenaea.courbaril	1	0	1	0	0	0	0	0
Hyperbaena.leptobotryosa	0	0	0	0	0	0	0	1
Inga.bella	0	0	0	0	0	0	0	1
Inga.edulis	0	0	1	0	0	0	0	0
Inga.jimenezii	0	0	0	0	0	0	1	0
Inga.marginata	0	0	0	0	0	0	1	1
Inga.multijuga	0	0	0	0	0	0	1	1
Inga.nobilis	0	0	0	0	0	0	1	0
Inga.punctata	0	0	0	1	0	0	0	1
Inga.sapindoides	0	0	0	0	0	0	0	1
Inga.sp.RC	0	0	0	0	0	1	0	0
Inga.sp1.MU2	0	0	0	0	1	0	0	0
Inga.sp1.OBS	0	0	0	0	0	0	0	1
Inga.sp1.RC2	0	0	0	1	0	0	0	0
Inga.sp2	0	0	0	1	0	0	0	1
Inga.sp3.OBS	0	0	0	0	0	0	0	1
Inga.sp3.RC	0	0	0	1	0	0	0	0
Inga.sp4.OBS	0	0	0	0	0	0	0	1
Inga.thibaudiana	0	0	0	0	0	0	0	1
