$Cebus	x6	x7	x8	x11	x12	x17	x20	x23	x29	x33	x35	x36	x39	x40	x55
Ficus.bullenei	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Ficus.citrifolia	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Ficus.cotinifolia	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1
Ficus.crocata	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Ficus.goldmanii	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Ficus.hondurensis	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Ficus.obtusifolia	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Ficus.sp.SR	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0
Ficus.sp.SR2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Forsteronia.spicata	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
Garcinia.intermedia	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Genipa.americana	1	1	1	0	1	0	0	0	0	0	1	1	1	0	0
Gliricidia.sepium	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Gonolobus.barbatus	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Guazuma.ulmifolia	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0
Guettarda.macrosperma	0	1	1	0	0	0	0	0	0	0	1	1	1	0	1
Hamelia.patens	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
Handroanthus.ochraceus	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Hirtella.triandra	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0
Hymenaea.courbaril	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0
Hyperbaena.tonduzii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Inga.edulis	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
Ixora.floribunda	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Jacaratia.dolichaula	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Karwinskia.calderonii	0	1	1	0	0	0	0	0	1	0	1	1	1	0	0
Krugiodendron.ferreum	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Lantana.camara	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
Lasiacis.maculata	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
Lasiacis.nigra	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Licania.arborea	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0
Lonchocarpus.costaricensis	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Luehea.candida	0	1	1	0	0	0	0	1	1	0	1	1	1	0	0
Luehea.speciosa	1	0	0	1	0	0	0	1	1	0	1	1	1	0	0
Maclura.tinctoria	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1
Malpighia.glabra	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Malvaviscus.arboreus	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0
Mangifera.indica	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Manihot.aesculifolia	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Manilkara.chicle	0	0	0	0	1	0	0	1	1	0	1	1	1	0	0
Margaritaria.nobilis	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0
Maytenus.segoviarum	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Melaleuca.viminalis	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Miconia.argentea	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
