Center Longitude dec,Map Projection,Comments,NE Corner Long dec,Begin Date,Agency,Entity ID,NW Corner Long,NE Corner Lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Sensor,Version,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,End Date,Platform,Display ID
-97.2019,Lambert Azimuthal Equal Area,acceptable,-65.39465,2021-04-06 00:00:00-05,USGS EROS,EVUSS20210406202104196,128°31'48.21"W,46°42'17.64"N,65°23'40.74"W,22°28'45.81"N,75°24'58.87"W,23°35'01.53"N,119°58'20.24"W,38.7368666666667,VIIRS,1,38°44'12.72"N,97°12'06.84"W,48°24'11"N,48.4030555555556,-128.530058333333,46.7049,22.4793916666667,-75.4163527777778,23.5837583333333,-119.972288888889,2021-04-19 00:00:00-05,SUOMI NPP,EVUSS20210406202104196,EVUSS20210406202104196
-97.2019,Lambert Azimuthal Equal Area,acceptable,-65.39465,2021-04-13 00:00:00-05,USGS EROS,EVUSS20210413202104196,128°31'48.21"W,46°42'17.64"N,65°23'40.74"W,22°28'45.81"N,75°24'58.87"W,23°35'01.53"N,119°58'20.24"W,38.7368666666667,VIIRS,1,38°44'12.72"N,97°12'06.84"W,48°24'11"N,48.4030555555556,-128.530058333333,46.7049,22.4793916666667,-75.4163527777778,23.5837583333333,-119.972288888889,2021-04-19 00:00:00-05,SUOMI NPP,EVUSS20210413202104196,EVUSS20210413202104196
-97.2019,Lambert Azimuthal Equal Area,acceptable,-65.39465,2021-04-20 00:00:00-05,USGS EROS,EVUSS20210420202104266,128°31'48.21"W,46°42'17.64"N,65°23'40.74"W,22°28'45.81"N,75°24'58.87"W,23°35'01.53"N,119°58'20.24"W,38.7368666666667,VIIRS,1,38°44'12.72"N,97°12'06.84"W,48°24'11"N,48.4030555555556,-128.530058333333,46.7049,22.4793916666667,-75.4163527777778,23.5837583333333,-119.972288888889,2021-04-26 00:00:00-05,SUOMI NPP,EVUSS20210420202104266,EVUSS20210420202104266
-97.2019,Lambert Azimuthal Equal Area,acceptable,-65.39465,2021-04-20 00:00:00-05,USGS EROS,EVUSS20210420202105036,128°31'48.21"W,46°42'17.64"N,65°23'40.74"W,22°28'45.81"N,75°24'58.87"W,23°35'01.53"N,119°58'20.24"W,38.7368666666667,VIIRS,1,38°44'12.72"N,97°12'06.84"W,48°24'11"N,48.4030555555556,-128.530058333333,46.7049,22.4793916666667,-75.4163527777778,23.5837583333333,-119.972288888889,2021-05-03 00:00:00-05,SUOMI NPP,EVUSS20210420202105036,EVUSS20210420202105036
-97.2019,Lambert Azimuthal Equal Area,acceptable,-65.39465,2021-04-27 00:00:00-05,USGS EROS,EVUSS20210427202105036,128°31'48.21"W,46°42'17.64"N,65°23'40.74"W,22°28'45.81"N,75°24'58.87"W,23°35'01.53"N,119°58'20.24"W,38.7368666666667,VIIRS,1,38°44'12.72"N,97°12'06.84"W,48°24'11"N,48.4030555555556,-128.530058333333,46.7049,22.4793916666667,-75.4163527777778,23.5837583333333,-119.972288888889,2021-05-03 00:00:00-05,SUOMI NPP,EVUSS20210427202105036,EVUSS20210427202105036
-97.2019,Lambert Azimuthal Equal Area,acceptable,-65.39465,2021-05-04 00:00:00-05,USGS EROS,EVUSS20210504202105106,128°31'48.21"W,46°42'17.64"N,65°23'40.74"W,22°28'45.81"N,75°24'58.87"W,23°35'01.53"N,119°58'20.24"W,38.7368666666667,VIIRS,1,38°44'12.72"N,97°12'06.84"W,48°24'11"N,48.4030555555556,-128.530058333333,46.7049,22.4793916666667,-75.4163527777778,23.5837583333333,-119.972288888889,2021-05-10 00:00:00-05,SUOMI NPP,EVUSS20210504202105106,EVUSS20210504202105106
-97.2019,Lambert Azimuthal Equal Area,acceptable,-65.39465,2021-05-04 00:00:00-05,USGS EROS,EVUSS20210504202105176,128°31'48.21"W,46°42'17.64"N,65°23'40.74"W,22°28'45.81"N,75°24'58.87"W,23°35'01.53"N,119°58'20.24"W,38.7368666666667,VIIRS,1,38°44'12.72"N,97°12'06.84"W,48°24'11"N,48.4030555555556,-128.530058333333,46.7049,22.4793916666667,-75.4163527777778,23.5837583333333,-119.972288888889,2021-05-17 00:00:00-05,SUOMI NPP,EVUSS20210504202105176,EVUSS20210504202105176
-97.2019,Lambert Azimuthal Equal Area,acceptable,-65.39465,2021-05-11 00:00:00-05,USGS EROS,EVUSS20210511202105176,128°31'48.21"W,46°42'17.64"N,65°23'40.74"W,22°28'45.81"N,75°24'58.87"W,23°35'01.53"N,119°58'20.24"W,38.7368666666667,VIIRS,1,38°44'12.72"N,97°12'06.84"W,48°24'11"N,48.4030555555556,-128.530058333333,46.7049,22.4793916666667,-75.4163527777778,23.5837583333333,-119.972288888889,2021-05-17 00:00:00-05,SUOMI NPP,EVUSS20210511202105176,EVUSS20210511202105176
-97.2019,Lambert Azimuthal Equal Area,acceptable,-65.39465,2021-05-18 00:00:00-05,USGS EROS,EVUSS20210518202105246,128°31'48.21"W,46°42'17.64"N,65°23'40.74"W,22°28'45.81"N,75°24'58.87"W,23°35'01.53"N,119°58'20.24"W,38.7368666666667,VIIRS,1,38°44'12.72"N,97°12'06.84"W,48°24'11"N,48.4030555555556,-128.530058333333,46.7049,22.4793916666667,-75.4163527777778,23.5837583333333,-119.972288888889,2021-05-24 00:00:00-05,SUOMI NPP,EVUSS20210518202105246,EVUSS20210518202105246
-97.2040555555556,Lambert Azimuthal Equal Area,acceptable,-65.3992083333333,2021-05-18 00:00:00-05,USGS EROS,EVUSS20210518202105316,128°31'48.21"W,46°42'22.77"N,65°23'57.15"W,22°28'49.19"N,75°25'11.59"W,23°35'01.53"N,119°58'20.24"W,38.7369222222222,VIIRS,1,38°44'12.92"N,97°12'14.60"W,48°24'11"N,48.4030555555556,-128.530058333333,46.706325,22.4803305555556,-75.4198861111111,23.5837583333333,-119.972288888889,2021-05-31 00:00:00-05,SUOMI NPP,EVUSS20210518202105316,EVUSS20210518202105316
-97.2019,Lambert Azimuthal Equal Area,acceptable,-65.39465,2021-05-19 00:00:00-05,USGS EROS,EVUSS20210519202105256,128°31'48.21"W,46°42'17.64"N,65°23'40.74"W,22°28'45.81"N,75°24'58.87"W,23°35'01.53"N,119°58'20.24"W,38.7368666666667,VIIRS,1,38°44'12.72"N,97°12'06.84"W,48°24'11"N,48.4030555555556,-128.530058333333,46.7049,22.4793916666667,-75.4163527777778,23.5837583333333,-119.972288888889,2021-05-25 00:00:00-05,SUOMI NPP,EVUSS20210519202105256,EVUSS20210519202105256
-97.2040555555556,Lambert Azimuthal Equal Area,acceptable,-65.3992083333333,2021-05-25 00:00:00-05,USGS EROS,EVUSS20210525202105316,128°31'48.21"W,46°42'22.77"N,65°23'57.15"W,22°28'49.19"N,75°25'11.59"W,23°35'01.53"N,119°58'20.24"W,38.7369222222222,VIIRS,1,38°44'12.92"N,97°12'14.60"W,48°24'11"N,48.4030555555556,-128.530058333333,46.706325,22.4803305555556,-75.4198861111111,23.5837583333333,-119.972288888889,2021-05-31 00:00:00-05,SUOMI NPP,EVUSS20210525202105316,EVUSS20210525202105316
-97.2040555555556,Lambert Azimuthal Equal Area,acceptable,-65.3992083333333,2021-06-01 00:00:00-05,USGS EROS,EVUSS20210601202106076,128°31'48.21"W,46°42'22.77"N,65°23'57.15"W,22°28'49.19"N,75°25'11.59"W,23°35'01.53"N,119°58'20.24"W,38.7369222222222,VIIRS,1,38°44'12.92"N,97°12'14.60"W,48°24'11"N,48.4030555555556,-128.530058333333,46.706325,22.4803305555556,-75.4198861111111,23.5837583333333,-119.972288888889,2021-06-07 00:00:00-05,SUOMI NPP,EVUSS20210601202106076,EVUSS20210601202106076
-97.2019,Lambert Azimuthal Equal Area,acceptable,-65.39465,2021-06-01 00:00:00-05,USGS EROS,EVUSS20210601202106146,128°31'48.21"W,46°42'17.64"N,65°23'40.74"W,22°28'45.81"N,75°24'58.87"W,23°35'01.53"N,119°58'20.24"W,38.7368666666667,VIIRS,1,38°44'12.72"N,97°12'06.84"W,48°24'11"N,48.4030555555556,-128.530058333333,46.7049,22.4793916666667,-75.4163527777778,23.5837583333333,-119.972288888889,2021-06-14 00:00:00-05,SUOMI NPP,EVUSS20210601202106146,EVUSS20210601202106146
